iter	Passed	Remaining
0	8	840
1	16	823
2	23	746
3	28	683
4	34	656
5	41	655
6	49	655
7	55	633
8	60	608
9	65	587
10	70	572
11	76	558
12	81	546
13	87	537
14	94	535
15	100	525
16	105	514
17	110	504
18	115	492
19	120	482
20	125	473
21	131	465
22	137	460
23	145	460
24	151	455
25	157	449
26	164	445
27	172	442
28	177	435
29	184	430
30	192	429
31	199	422
32	205	416
33	211	410
34	217	404
35	224	399
36	230	392
37	237	387
38	244	382
39	251	376
40	257	370
41	264	365
42	273	361
43	279	355
44	285	349
45	292	342
46	299	337
47	306	332
48	313	326
49	319	319
50	326	313
51	332	307
52	339	301
53	347	295
54	354	289
55	360	283
56	366	276
57	373	270
58	380	264
59	386	257
60	392	251
61	398	244
62	405	237
63	411	231
64	418	225
65	423	218
66	430	212
67	438	206
68	445	200
69	451	193
70	456	186
71	461	179
72	466	172
73	471	165
74	477	159
75	481	152
76	485	144
77	489	137
78	493	131
79	498	124
80	502	117
81	507	111
82	512	104
83	516	98
84	520	91
85	523	85
86	527	78
87	531	72
88	534	66
89	539	59
90	544	53
91	548	47
92	552	41
93	556	35
94	560	29
95	562	23
96	565	17
97	568	11
98	571	5
99	574	0
